Point ID,Activation,Points_0,Points_1,Points_2
4555,24,97.857,99.508,259.08
4556,27,99.007,100.26,258.23
4557,24,97.865,99.832,258.75
4558,24,98.02,100.01,258.71
4559,24,97.948,99.805,258.96
4560,27,96.879,103.81,259.02
4561,27,97.076,103.82,258.82
4562,27,96.86,104.2,259
4563,27,97.068,104.21,258.8
4564,23,96.105,103.39,259.83
4565,23,96.493,103.41,259.43
4566,23,96.3,103.4,259.63
4567,23,96.079,103.78,259.8
4568,27,98.502,107.4,256.27
4569,27,98.692,107.45,256.03
4570,27,98.876,106.19,256.61
4571,27,98.569,107.82,255.9
4572,26,98.939,107.81,255.48
4573,26,98.702,107.97,255.63
4574,26,98.837,108.11,255.37
4575,26,98.603,108.27,255.52
4576,26,97.615,110.51,254.97
4577,26,97.736,110.63,254.69
4578,26,96.998,107.85,257.52
4579,25,97.237,107.7,257.36
4580,25,97.392,107.86,257.11
4581,25,97.153,108,257.28
4582,25,96.901,108.2,257.42
4583,26,96.868,109,257.01
4584,26,97.247,108.99,256.57
4585,26,97.038,109.05,256.78
4586,27,98.177,107.86,256.3
4587,25,97.638,107.71,256.96
4588,25,97.546,108,256.87
4589,26,96.929,109.43,256.68
4590,25,95.305,108.64,259.04
4591,25,95.242,108.99,258.97
4592,25,95.441,109.06,258.71
4593,25,95.571,109.22,258.49
4594,25,95.312,109.44,258.69
4595,25,94.539,110.23,259.08
4596,25,94.685,110.38,258.83
4597,25,94.439,110.52,258.97
4598,25,94.58,110.66,258.72
4599,25,95.106,108.67,259.26
4600,25,95.039,109.02,259.19
4601,24,93.74,110.2,259.86
4602,24,93.993,110.07,259.72
4603,24,93.892,110.36,259.61
4604,24,93.633,110.49,259.75
4605,25,94.471,109.79,259.41
4606,25,94.329,109.59,259.67
4607,25,94.258,109.85,259.59
4608,27,96.241,107.85,258.3
4609,27,96.376,108.01,258.08
4610,27,96.102,108.24,258.29
4611,27,96.303,108.27,258.04
4612,24,92.251,100.67,267.16
4613,24,92.339,100.8,266.89
4614,24,92.075,101,267.08
4615,24,92.436,100.92,266.61
4616,24,92.244,101.07,266.76
4617,22,92.439,102.61,265.03
4618,22,92.352,102.87,264.96
4619,22,92.458,103.01,264.68
4620,21,91.7,103.41,265.52
4621,21,91.86,103.46,265.25
4622,21,91.638,103.7,265.39
